0.371986706888551;	0.033667847335182;	0.037718780545148;	0.033259430313289;	0.029499058165713;	0.028676778428034;	0.045760363933252;	0.040091022271446;	0.022674453959752;	0.021141302842311;	0.082444906226675;	0.111365033875818;	0.078085729356874;	0.090896533760126;	0.090547728386477;	0.103044146687136;	0.018158359550901;	0.017532482205782;	0.017561865044141;	0.017671743493470;	0.017793376258227;	0.018165269077549;	0.018220580581616;	0.018346475795517;	0.018213930418615;	0.018802451379885;	0.019566613573691;	0.019414660979521;	0.019884667881731;	0.020727827243363;	0.020254940682910;	0.021027445396362;	0.021659434116209;	0.021510421758663;	0.022296034981483;	0.023023678541208;	0.022783440965045;	0.023732435512367;	0.024259458126357;	0.024936183108928;	0.024753319802741;	0.025833144033998;	0.025892802288700;	0.027124796293256;	0.028012621103032;	0.027906651332523;	0.028840581371564;	0.029488256990993;	0.029719129261848;	0.031037115918610;	0.032443560885508;	0.033155716368111;	0.032744752858155;	0.033789267394935;	0.034507083846912;	0.035480370470653;	0.035712476380696;	0.036454715930307;	0.037759671576659;	0.038760604601142;	0.038712416912103;	0.039854610445386;	0.041317327857967;	0.042639194583541;	0.043463086974619;	0.043947256820821;	0.045026402789462;	0.046109080278184;	0.047388626613866;	0.048030218554932;	0.049607291998416;	0.051061421085144;	0.052287577796858;	0.052870233037306;	0.052744554240120;	0.054032705207698;	0.055662822632526;	0.057464845417851;	0.059231189143602;	0.060977474008234;	0.062805086893482;	0.064631259334377;	0.066502723041403;	0.068432442627425;	0.070258132524917;	0.076175849676627;	0.078509431399962;	0.079996759465766;	0.081140890657668;	0.082907738558329;	0.084539094268139;	0.086357014315110;	0.087988728537963;	0.088463974675245;	0.089127064604044;	0.089726729891183;	0.091283217406875;	0.093152531389145;	0.096159720561764;	0.098886463986111;	0.101881776808401;	0.105261964492736;	0.108901409853506;	0.113496952548569;	0.117101105930987;	0.120996621672339;	0.126755160199475;	0.133596167827949;	0.141381665981571;	0.150608305968146;	0.161432985422482;	0.168283814655507;	0.189182632548908;	0.218268829872986;	0.244799109392319;	0.275380718610567;	0.312980598815982;	0.348345770416450;	0.392759557037943;	0.475840935973653
0.373215673843672;	0.034818227120821;	0.038984582089086;	0.034388241676746;	0.030504086651248;	0.028982416053368;	0.046105343804433;	0.040414198660834;	0.022923322673711;	0.021373358193239;	0.082763573815009;	0.111698280022593;	0.078316771529774;	0.091121591163212;	0.090769756815035;	0.103271759491283;	0.018410650692418;	0.017780194108708;	0.017820805611518;	0.017935547940400;	0.018066611638154;	0.018455657935809;	0.018519872518561;	0.018646150961228;	0.018517111480583;	0.019123345011603;	0.019904013521679;	0.019753048778880;	0.020232900207008;	0.021091841026767;	0.020608262376076;	0.021395390531907;	0.022039298831699;	0.021888883846890;	0.022680651031843;	0.023434917730769;	0.023189762529626;	0.024160527236710;	0.024670579208282;	0.025358405758944;	0.025175308344458;	0.026272593467168;	0.026358390910212;	0.027610719917814;	0.028512885679682;	0.028396097600276;	0.029341902086805;	0.029975957171317;	0.030218850115464;	0.031556619402085;	0.032983132776831;	0.033706134275417;	0.033305336441702;	0.034366812216163;	0.035101220030465;	0.036090286085299;	0.036321850701786;	0.037074735515829;	0.038400590216251;	0.039417409326427;	0.039348071648095;	0.040508161040715;	0.041992577756302;	0.043334794174675;	0.044173285721654;	0.044665850661259;	0.045762761636188;	0.046863025748045;	0.048163255820033;	0.048817295183668;	0.050418268318133;	0.051894869393553;	0.053141100326157;	0.053736004607779;	0.053615050129800;	0.054922871617157;	0.056576897610682;	0.058404727927341;	0.060196373648850;	0.061967754206539;	0.063821360777938;	0.065673769191369;	0.067572075436992;	0.069529382531884;	0.071382058674234;	0.076456433340435;	0.078800142309445;	0.080296030228653;	0.081448554112805;	0.083225363293289;	0.084866583005394;	0.086694994127005;	0.088337472916032;	0.088819831416890;	0.089491275433978;	0.090098846808251;	0.091667911427231;	0.093551239198787;	0.096575595676997;	0.099319529678415;	0.102333434627685;	0.105733800708851;	0.109394732206850;	0.114014509103977;	0.117641664007199;	0.121562148916104;	0.127350241299580;	0.134223454052459;	0.142043494123445;	0.151307438741414;	0.162171615320536;	0.169059231569869;	0.190008670707933;	0.219137385748994;	0.245700263406265;	0.276313147247232;	0.313942361311893;	0.349326900268924;	0.393719790027009;	0.512719040276844
0.374109760606282;	0.035656834154231;	0.039843070465460;	0.035114435618573;	0.031117079757512;	0.029649234793627;	0.046821752275054;	0.041060265813248;	0.023410019125995;	0.021808528015324;	0.083327788137063;	0.112265541088956;	0.078699318542927;	0.091481791756207;	0.091108937761226;	0.103604920286555;	0.018765500877989;	0.018119608787211;	0.018152253523000;	0.018268838629532;	0.018396466435310;	0.018787852320084;	0.018846948500294;	0.018973389660330;	0.018835635929177;	0.019440632502152;	0.020229711075363;	0.020069097992526;	0.020550119278759;	0.021417622128096;	0.020924413677595;	0.021717331193919;	0.022365096797156;	0.022207436157209;	0.023012490942748;	0.023758106165571;	0.023504983086797;	0.024477310768879;	0.025014758106432;	0.025708168244879;	0.025515024748866;	0.026620726266025;	0.026675613395539;	0.027938237268039;	0.028846315599876;	0.028732339511324;	0.029686135986122;	0.030346886784585;	0.030579433862470;	0.031927815061340;	0.033365051663082;	0.034092695852891;	0.033667633622063;	0.034734686848309;	0.035465106059640;	0.036460023163993;	0.036695667366822;	0.037453978375672;	0.038786599453835;	0.039808122274898;	0.039755377019514;	0.040921927591622;	0.042414590588549;	0.043763662117471;	0.044605069554175;	0.045096828326622;	0.046197441282237;	0.047300844673116;	0.048605510270003;	0.049255646448323;	0.050862558334202;	0.052343980019258;	0.053593449445538;	0.054186744355058;	0.054054675737787;	0.055366591014814;	0.057026171977124;	0.058859841931312;	0.060656459728313;	0.062432080501594;	0.064289685651560;	0.066145537111416;	0.068046894915263;	0.070006893698180;	0.071861318765027;	0.077147309351285;	0.079505408388832;	0.081011096156207;	0.082171531794602;	0.083958802131020;	0.085609414916284;	0.087447635523176;	0.089099333079289;	0.089581819654375;	0.090255088177026;	0.090862373641715;	0.092439533950561;	0.094332264226338;	0.097370343795614;	0.100126242107188;	0.103152729725900;	0.106566420793208;	0.110240696192448;	0.114875871360125;	0.118513740847513;	0.122445124562559;	0.128247609769341;	0.135135091667789;	0.142968211225265;	0.152244055124636;	0.163117734531667;	0.170006835653107;	0.190968182973665;	0.220093403913446;	0.246638469955181;	0.277229333035179;	0.314831575920325;	0.350179605175029;	0.394505231621950;	0.520723252294335
0.375131765820918;	0.036730016284487;	0.040960578341044;	0.036087595846685;	0.031964035231702;	0.030376694967596;	0.047584477412750;	0.041748890153176;	0.023937282945472;	0.022281846384106;	0.083928224392151;	0.112868932531840;	0.079119193032783;	0.091878338879728;	0.091486617434214;	0.103979629105662;	0.019169050075770;	0.018504261317436;	0.018541993569513;	0.018656112991985;	0.018786877804521;	0.019192107657873;	0.019253568159845;	0.019372044869739;	0.019230394877316;	0.019849040334522;	0.020650841694441;	0.020484668542865;	0.020970857231250;	0.021853019837135;	0.021343154212864;	0.022148362718609;	0.022805946726989;	0.022642930457478;	0.023449219048492;	0.024222150049373;	0.023959983423454;	0.024952945252640;	0.025462565863949;	0.026163647612331;	0.025966915959105;	0.027086789846849;	0.027170808242851;	0.028449974209367;	0.029368742356897;	0.029237059159060;	0.030197920521309;	0.030832277791979;	0.031074459619532;	0.032436774281227;	0.033887860875923;	0.034620608485092;	0.034207810354638;	0.035286319959222;	0.036030611174073;	0.037035098043341;	0.037261747536546;	0.038023196367695;	0.039369719322769;	0.040400226048399;	0.040308112162496;	0.041483703337451;	0.042988191757635;	0.044347741068549;	0.045195008997387;	0.045687107107595;	0.046795927374902;	0.047907345204354;	0.049222151774111;	0.049878316181385;	0.051497061032267;	0.052988983981731;	0.054246936353054;	0.054843422836555;	0.054717721221152;	0.056035827349464;	0.057704186230430;	0.059547584985620;	0.061353257933863;	0.063137460830370;	0.065003910705308;	0.066868411320749;	0.068778484177685;	0.070747314687492;	0.072609806551452;	0.077894052119315;	0.080261231367972;	0.081771389265117;	0.082933995440186;	0.084726110458981;	0.086380828018605;	0.088223850020018;	0.089879949893559;	0.090357819284652;	0.091028723973040;	0.091631879348167;	0.093213957326081;	0.095113383472045;	0.098162844889472;	0.100929064453221;	0.103967053644266;	0.107393552544533;	0.111081234945188;	0.115732242408158;	0.119381934048706;	0.123325785128688;	0.129144465087390;	0.136048531370865;	0.143897788704464;	0.153189701749757;	0.164078824135082;	0.170978446904222;	0.192046460115124;	0.221459868210551;	0.248279540237826;	0.279052597314728;	0.316797858328358;	0.352245334103604;	0.396565313206453;	0.528593135040996
0.376257822367100;	0.037975079788755;	0.042242950402996;	0.037206950462616;	0.032939795663924;	0.031216388819188;	0.048450579395687;	0.042531544339417;	0.024549627425280;	0.022829626027930;	0.084606380584587;	0.113549483883976;	0.079599717066268;	0.092333968078685;	0.091916368710589;	0.104403485327419;	0.022107532706880;	0.018942088597294;	0.018971392796446;	0.019091665985923;	0.019220822637898;	0.019632415993324;	0.019690694041254;	0.019813186364425;	0.019663640555676;	0.020283781163297;	0.021100366189433;	0.020924933722436;	0.021414228954416;	0.022309080949278;	0.021786542188709;	0.022599878659558;	0.023263855085036;	0.023091993219074;	0.023915747709695;	0.024679185394338;	0.024407216256174;	0.025403694950039;	0.025948686787043;	0.026658682873507;	0.026449646209819;	0.027582350977756;	0.027625834620607;	0.028919898088989;	0.029847932095172;	0.029720443649176;	0.030693529022626;	0.031365199828729;	0.031594096407851;	0.032972453248800;	0.034439926181415;	0.035181040456191;	0.034735335370887;	0.035823091889356;	0.036562558265885;	0.037576618353012;	0.037810589123782;	0.038581375250678;	0.039938856250219;	0.040977712587443;	0.040916156210015;	0.042103751608490;	0.043622897731630;	0.044995304023514;	0.045850082821394;	0.046344266650203;	0.047461813376661;	0.048581276213723;	0.049906032848069;	0.050557159173436;	0.052188114496524;	0.053690828579156;	0.054957428285859;	0.055554636774460;	0.055405947241534;	0.056735177910404;	0.058417142381835;	0.060274987833422;	0.062094262960145;	0.063891408642447;	0.065770875525805;	0.067647983025846;	0.069570574416708;	0.071551852207110;	0.073425794149330;	0.078714509121562;	0.081095052189678;	0.082621037989204;	0.083871608801428;	0.085776092151050;	0.087532936664930;	0.089474769618763;	0.091229285550294;	0.091788165872821;	0.092541289548523;	0.093219415183012;	0.094891487051682;	0.096881601908016;	0.100028676077794;	0.102885708088472;	0.106014143811414;	0.109531747582031;	0.113310842500058;	0.118059593644344;	0.121797634830977;	0.125834289111977;	0.131760730054582;	0.138780167845712;	0.146751477230142;	0.156174872544889;	0.167204012853452;	0.174239363967912;	0.195481641189770;	0.225017702900317;	0.251951528103235;	0.282884569885275;	0.320821390080938;	0.356441406223234;	0.400785273833610;	0.536768047770042
0.377543702145190;	0.039415047471204;	0.043708898386005;	0.038490629639053;	0.034061199861325;	0.032183317232683;	0.049427541860983;	0.043418508412872;	0.025253266408597;	0.023461734030989;	0.085369737641072;	0.114310551084566;	0.080151744048138;	0.092854102388154;	0.092409454595397;	0.104890411126393;	0.022630789325601;	0.021942375026419;	0.019471862431581;	0.019585243044726;	0.019716147099884;	0.020143486347723;	0.020202506130258;	0.020311471407395;	0.020155153591183;	0.020789784141443;	0.021619175138326;	0.021435423633839;	0.021927833659660;	0.022838646081839;	0.022294295295749;	0.023119753303993;	0.023793925122433;	0.023614413163498;	0.024436317705461;	0.025231130205953;	0.024947513417047;	0.025966576661564;	0.026475108450984;	0.027192761812987;	0.026978767423845;	0.028126484018630;	0.028203453604118;	0.029515645654932;	0.030455905928625;	0.030307706860644;	0.031288768673926;	0.031928020233192;	0.032167606133544;	0.033561124186053;	0.035043740948343;	0.035790635082363;	0.035360720204243;	0.036461617868191;	0.037217773718911;	0.038242890977170;	0.038548598094454;	0.039514618356314;	0.041055676181332;	0.042191179325906;	0.042118449839392;	0.043375311839591;	0.044963936132782;	0.046398247095380;	0.047301313536215;	0.047829612807133;	0.049001367523592;	0.050179299179466;	0.051571148915887;	0.052272698226126;	0.053977391083153;	0.055551593505264;	0.056885005769491;	0.057533014386088;	0.057434366254670;	0.058829331248035;	0.060585302439347;	0.062520861599397;	0.064416471429380;	0.066288940526427;	0.068245045934507;	0.070198111887331;	0.072195915196969;	0.074252042050796;	0.076197064393979;	0.081035230406100;	0.083486366012125;	0.085063348675547;	0.086304120140562;	0.088199832382376;	0.089962045654681;	0.091924514965092;	0.093707384937306;	0.094275532732985;	0.095056377335577;	0.095766125852547;	0.097509943855504;	0.099587324429358;	0.102846994466728;	0.105823202297955;	0.109082641726956;	0.112743916606974;	0.116679469251828;	0.121605442657780;	0.125518482948571;	0.129747907165682;	0.135900097599651;	0.143167738049293;	0.151407802996120;	0.161124788902944;	0.172470102332199;	0.179827290273126;	0.201472941632529;	0.231294028253877;	0.258482994873530;	0.289786265620197;	0.328188720119373;	0.364267466867969;	0.408853166931771;	0.544983475487410
0.378876296117982;	0.041074625361481;	0.045378607760736;	0.039955581129135;	0.035343458264549;	0.033291250470070;	0.050565358481939;	0.044414310360961;	0.026062541472285;	0.024183344119395;	0.086219576481106;	0.115158312419417;	0.080774578566650;	0.093445647319828;	0.092963956203474;	0.105435249003305;	0.023215641906034;	0.022504269209967;	0.020018860808239;	0.020141069199597;	0.020267979418073;	0.020763768836634;	0.020926640410314;	0.021110275070826;	0.020991836363016;	0.021676615031543;	0.022570693990112;	0.022400261768196;	0.022926715622507;	0.023894757883259;	0.023347264282825;	0.024222734292702;	0.024944529367923;	0.024774125941849;	0.025656082490711;	0.026483952802341;	0.026204152034758;	0.027278291860294;	0.027848613880773;	0.028617519957322;	0.028404235289993;	0.029619071450603;	0.029685232452041;	0.031070752702022;	0.032068291053701;	0.031928085436238;	0.032966862532391;	0.033664046788489;	0.033913101261898;	0.035381426075668;	0.036941354154135;	0.037737966022055;	0.037278883229455;	0.038439053417376;	0.039226698227932;	0.040309019405507;	0.040553976785431;	0.041370134409926;	0.042808300418347;	0.043914219771981;	0.043851481559717;	0.045119876706870;	0.046736350715229;	0.048201191670172;	0.049126726769265;	0.049665799707605;	0.050869695088656;	0.052078455539376;	0.053507799355299;	0.054214424838700;	0.055971306722869;	0.057599237143841;	0.058985691973729;	0.059670088741385;	0.059559424297823;	0.061027549967537;	0.062869958116321;	0.064900835650818;	0.066895669405313;	0.068871605899891;	0.070937754686018;	0.073005380525838;	0.075124140199964;	0.077306678602597;	0.079378899635349;	0.083985714220235;	0.086557260874266;	0.088241094831358;	0.089579871938964;	0.091581333136915;	0.093447540723798;	0.095519617786033;	0.097409811397129;	0.098042114058401;	0.098902880170057;	0.099686428876496;	0.101556951623917;	0.103777817105614;	0.107214941885884;	0.110378449170416;	0.113845502619693;	0.117738781957931;	0.121929255529531;	0.127144888972865;	0.131349383769103;	0.135903391306618;	0.142436137425107;	0.150127592846209;	0.158835836129141;	0.169081929941473;	0.181029536144415;	0.189072702542833;	0.211631941580358;	0.242284667766603;	0.270420486521929;	0.303197943431839;	0.343702556358813;	0.381993429625672;	0.428098246855556;	0.553422908193078
0.435586056726038;	0.044692172076112;	0.049090097988856;	0.043255245542531;	0.038278741279004;	0.035582449542784;	0.053002114161593;	0.046774229633676;	0.027868748711605;	0.025851277601812;	0.088339829306487;	0.117324705696812;	0.082334987670282;	0.094954250919683;	0.094420996787484;	0.106902607267070;	0.025859205545358;	0.024024171330967;	0.024286966535102;	0.021740435109511;	0.021893435824014;	0.022396086462098;	0.022471396231304;	0.022582967458135;	0.022412805158482;	0.023103195227362;	0.024019693543366;	0.023815228043008;	0.024339895847151;	0.025342987162552;	0.024731801213380;	0.025624053961716;	0.026360302050805;	0.026157854251154;	0.027034595451750;	0.027907482863521;	0.027589225299170;	0.028699023460493;	0.029213496131582;	0.029996133671160;	0.029759083754797;	0.031005721312982;	0.031096795794296;	0.032522661243486;	0.033550393419082;	0.033377467338971;	0.034444433567046;	0.035108334884393;	0.035375134668735;	0.036893352766054;	0.038507926234620;	0.039340576748687;	0.038918438696345;	0.040138046981490;	0.040988831178575;	0.042133737993235;	0.042450711880447;	0.043440036605172;	0.045052750424527;	0.046265724317640;	0.046161109325642;	0.047518339642118;	0.049230433350578;	0.050782337422057;	0.051775539543543;	0.052357904699681;	0.053637398259088;	0.054922831358223;	0.056437250057445;	0.057194018838292;	0.059043474066268;	0.060760057722233;	0.062227584090206;	0.062966422935859;	0.062895969062528;	0.064448540814064;	0.066390045357674;	0.068528746044165;	0.070633210961285;	0.072721488265851;	0.074906687290559;	0.077097389194760;	0.079346701167053;	0.081666855104374;	0.083877842166757;	0.088219017777899;	0.090941868614338;	0.092761594064810;	0.094230375377183;	0.096383771710370;	0.098405609310493;	0.100645968223387;	0.102702073416685;	0.103438432916439;	0.104429000042386;	0.105333217734880;	0.107401763845649;	0.109844319450851;	0.113550839285515;	0.117001796440636;	0.120788112691472;	0.125041920606513;	0.129638169129635;	0.135327463956932;	0.140042588147167;	0.145193460117585;	0.152444288158452;	0.160956502193417;	0.170563342087350;	0.181752810388817;	0.194594537642206;	0.203391914280239;	0.226725324144547;	0.257539822411377;	0.285645254029911;	0.318791815364486;	0.359836381280403;	0.398067316233724;	0.443287733254584;	0.562228688727961
0.439048140719343;	0.049027032838591;	0.053396997985149;	0.047026867902830;	0.041574798694486;	0.038420117340848;	0.055856665950780;	0.049350267475137;	0.030047235577007;	0.027694629248782;	0.090516975573003;	0.119480057529148;	0.083901087451895;	0.096439988118887;	0.095806338627516;	0.108258173341639;	0.028116926096139;	0.027337843992441;	0.025620147158630;	0.026073709643579;	0.023236568259431;	0.023784106996194;	0.023902565924771;	0.024058976724587;	0.023900929514168;	0.024636275280085;	0.025634121970422;	0.025436781351652;	0.026000860856175;	0.027088175437772;	0.026462414943179;	0.027420517499094;	0.028224478267024;	0.028029491584963;	0.028988090757596;	0.029901460425692;	0.029583317774713;	0.030765522107856;	0.031372103681369;	0.032225739941907;	0.031980584958642;	0.033318924536954;	0.033357312943022;	0.034877563173938;	0.035980106258284;	0.035815085990592;	0.036958440844849;	0.037708784590791;	0.037964030538447;	0.039572516466677;	0.041280360726028;	0.042168538603984;	0.041688728600283;	0.042977972275929;	0.043861712709987;	0.045074005230429;	0.045384859194595;	0.046383227399445;	0.048053776667400;	0.049334913415176;	0.049264773451104;	0.050709990398556;	0.052528014052365;	0.054181523644805;	0.055257008278250;	0.055894337691246;	0.057269468004324;	0.058653364996775;	0.060277810648868;	0.061082515669539;	0.063055920850467;	0.064893533053993;	0.066473504704766;	0.067286772824823;	0.067217635037199;	0.068893539396021;	0.070974510591452;	0.073263432863821;	0.075520502171168;	0.077764043103247;	0.080112208889590;	0.082469719241562;	0.084894915637398;	0.087398912362962;	0.089793415991532;	0.093917252639465;	0.096845379335461;	0.098851420002271;	0.100501255876833;	0.102865812786885;	0.105104938257319;	0.107580029882966;	0.109863310454665;	0.110739409758738;	0.111909889340727;	0.112983524721876;	0.115335196905054;	0.118100629021608;	0.122200569700604;	0.126077552339241;	0.130324437935484;	0.135067600056076;	0.140157203153941;	0.146320987172409;	0.151389413972944;	0.156813113301014;	0.164256956501251;	0.172835454563338;	0.182358511705843;	0.193345669729510;	0.205915340581131;	0.214559698748894;	0.237799955456562;	0.268281896281264;	0.296171621388499;	0.329508993746207;	0.371010608407626;	0.409549045758395;	0.454604461972175;	0.571374576913303
0.456413841591743;	0.053943963146545;	0.058233075787128;	0.051334035289794;	0.045404827583636;	0.041706537567030;	0.059218186246163;	0.052469955043626;	0.032588531711640;	0.030228646261565;	0.093495053534931;	0.122374547795440;	0.086077626963134;	0.098554068411506;	0.097850383848454;	0.110320619044096;	0.031130618440053;	0.029459831597003;	0.029879091453309;	0.028405588078584;	0.028624553417627;	0.029861351460902;	0.026230932918827;	0.026328162095334;	0.026130586883526;	0.026904601500399;	0.027955133114527;	0.027726068499620;	0.028297029142205;	0.029459217650680;	0.028752770750865;	0.029756731405783;	0.030611807133839;	0.030393009394745;	0.031370163533358;	0.032382132081888;	0.032035394147815;	0.033308648348418;	0.033872944127822;	0.034793139805073;	0.034543998186815;	0.035982862174779;	0.036064033584510;	0.037692036985600;	0.038887671427230;	0.038707809371089;	0.039944209547899;	0.040714484135933;	0.040999981643848;	0.042726347131596;	0.044558539429047;	0.045530053278125;	0.045064633565901;	0.046460749484723;	0.047429996428928;	0.048743635619204;	0.049059551302884;	0.050107584379273;	0.051882588842467;	0.053261813862218;	0.053149053513904;	0.054702124110542;	0.056647736936780;	0.058422376537809;	0.059596876859147;	0.060298891024875;	0.061791040597985;	0.063297139444122;	0.065056952243723;	0.065935361537201;	0.068060052236954;	0.070046537544960;	0.071765576078480;	0.072676798113954;	0.072697636578758;	0.074524415044440;	0.076774306635477;	0.079244929447039;	0.081687121103565;	0.084118800780648;	0.086663946818255;	0.089221640991475;	0.091857712563871;	0.094580649693031;	0.097190249835059;	0.101185185448156;	0.104360736522956;	0.106593502025767;	0.108468112814466;	0.111097477614961;	0.113612751815068;	0.116389631390950;	0.118951386031948;	0.119971754006245;	0.121317682443762;	0.122507327016312;	0.125055653838060;	0.127969740614492;	0.132181702181938;	0.136116611246674;	0.140358472964399;	0.145046099080007;	0.150041738615966;	0.156095655265294;	0.161059569257714;	0.166418446930923;	0.173835601541359;	0.182419546225484;	0.191973458477367;	0.203021515048884;	0.215665295490233;	0.224440825796387;	0.247845640195884;	0.278255154613150;	0.306130679988479;	0.339782351016546;	0.381806484522303;	0.420682789547422;	0.465578861116333;	0.580918281691957
